acoustic_vector_0,acoustic_vector_1,acoustic_vector_2,acoustic_vector_3,acoustic_vector_4,acoustic_vector_5,acoustic_vector_6,acoustic_vector_7,acousticness,beat_strength,bounciness,danceability,duration,dyn_range_mean,energy,flatness,instrumentalness,key,liveness,loudness,mechanism,mode,organism,release_year,session_id,speechiness,tempo,time_signature,track_id,us_popularity_estimate,valence,y1,y2
-0.8157745003700256,0.38640934228897095,0.2301604598760605,0.028027996420860287,-0.3333733677864075,0.015451654791831968,-0.353589802980423,0.20582635700702667,0.01584838703274727,0.4385513067245483,0.4734554886817932,0.6531192064285278,180.06666564941406,7.660024166107178,0.5534645318984986,1.0350066423416138,0.003484468441456557,1,0.6785528659820557,-6.577000141143799,0.5467836260795593,major,0.3206682503223419,2018,,0.06971657276153563,134.02499389648438,4,,99.9681333183712,0.15225453674793246,-1,0
-0.7136464715003967,0.3637180924415589,0.31031477451324463,-0.04222233220934868,-0.383164256811142,0.06635671108961105,-0.3653083741664887,0.1579204797744751,0.06181062757968904,0.6548038125038147,0.7356613874435424,0.8773934841156006,236.7963714599609,11.308750152587892,0.7268283367156982,1.0256357192993164,1.0313149090279694e-07,7,0.1043219193816185,-5.318999767303467,0.8247663378715515,minor,0.13139137625694275,2018,,0.06115787103772164,130.03799438476562,4,,99.89672801894189,0.3371524214744568,-1,0
-0.7425408363342285,0.3755992352962493,0.2526600658893585,-0.0490068644285202,-0.2997446656227112,0.06334090977907181,-0.4866894483566284,0.18160407245159144,0.35411643981933594,0.5321551561355591,0.5404109358787537,0.6797193288803101,231.26666259765625,8.065801620483397,0.5630089044570922,1.0294654369354248,2.6590351254185407e-08,10,0.13577575981616974,-5.8429999351501465,0.7743270993232726,major,0.2969231307506561,2018,,0.04535427689552308,145.0279998779297,4,,99.99997587441456,0.37386208772659296,-1,0
-0.7051156759262085,0.3175619840621948,0.2891410291194916,-0.038920309394598014,-0.3933581113815308,0.09271902590990064,-0.36441799998283386,0.2856031358242035,0.7692253589630127,0.6417558193206787,0.7292237281799315,0.8648810982704161,169.82667541503906,11.287586212158205,0.5294840931892395,0.9935195446014404,6.598388154088752e-06,1,0.10372156649827956,-7.75600004196167,0.630996286869049,major,0.6032708287239074,2018,,0.2299357205629349,111.98200225830078,4,,99.99503817126005,0.6494197845458984,-1,0
-0.8684892058372498,0.3312798738479614,0.21047750115394592,0.08474018424749374,-0.3332874774932861,-0.025706186890602112,-0.5103496313095093,0.1823153793811798,0.0066020842641592034,0.7324275374412536,0.7948806881904602,0.8577781915664674,210.54525756835938,12.181586265563965,0.6500566601753234,1.0005708932876587,2.0666493583121337e-06,8,0.1208416074514389,-4.919000148773193,0.7594654560089108,major,0.170147642493248,2018,,0.24097973108291626,147.031005859375,4,,99.99849778021292,0.6529207825660706,-1,0
-0.8175038695335389,0.28329670429229736,0.3875885903835297,0.2796359062194824,-0.28033366799354553,0.11799295246601105,0.10615874826908113,0.3112331032752991,0.09833745658397673,0.5486316680908203,0.6583225131034851,0.5964798927307129,216.6894836425781,10.416269302368164,0.5571288466453552,1.0273195505142212,7.479556529688125e-08,1,0.056492742151021964,-7.521999835968018,0.3850267231464386,minor,0.4403761923313141,2018,,0.13358630239963531,133.24699401855472,5,,99.99760191680672,0.6610814929008484,-1,0
-0.7484116554260254,0.3219761848449707,0.2374878972768784,0.003479898907244205,-0.31528669595718384,0.03243107348680496,-0.4646944999694824,0.20083552598953247,0.4496290683746337,0.487707644701004,0.6086118817329407,0.5575200319290161,186.4533233642578,9.8344144821167,0.4693495929241181,1.0330287218093872,2.0624971952543092e-08,6,0.11130597442388536,-7.808000087738037,0.15757575631141665,major,0.6752203106880188,2018,,0.40984779596328735,104.46600341796876,4,,99.86156739071356,0.10942033678293228,1,0
-0.9219282865524292,0.3597395420074463,0.2936740517616272,0.11530236899852753,-0.27498722076416016,0.04319266229867935,-0.44435107707977295,0.2119092792272568,0.017628373578190804,0.6493672132492067,0.6826104521751404,0.4894051551818848,214.0473480224609,9.900208473205566,0.7151548266410828,1.050186276435852,2.5300336346845146e-05,1,0.11478739231824875,-6.960000038146973,0.3541666567325592,major,0.45684322714805603,2018,,0.1036873459815979,83.03600311279298,4,,97.24381913357401,0.3899129629135132,1,0
-0.7444124221801757,0.3087003529071808,0.2301255017518997,0.06649301946163177,-0.2425488978624344,0.025370197370648384,-0.40321025252342224,0.15934962034225464,0.03012658655643463,0.818797767162323,0.8799471259117126,0.9643832445144652,218.26081848144528,15.03757095336914,0.5552796721458435,1.0468677282333374,0.0005667919176630676,5,0.12824414670467374,-6.244999885559082,0.8578553795814514,minor,0.10274412482976912,2018,,0.04985348507761955,130.01699829101562,4,,99.99845113741439,0.3383208811283112,1,0
-0.6472213864326477,0.31610095500946045,0.2513285577297211,-0.04153219237923623,-0.2523588538169861,0.0599706880748272,-0.3136956989765167,0.1264212280511856,0.3324667513370513,0.7515000104904176,0.8433541655540466,0.9140821695327759,60.0,14.457761764526367,0.23931784927845,1.0408024787902832,0.00041321563185192645,4,0.1190360262989998,-8.597000122070312,0.6222222447395325,minor,0.3558441996574401,2018,,0.15460947155952454,100.23699951171876,4,,99.95743442541227,0.257672131061554,1,0
